loan_id,customer_code,customer_name,employment_status,monthly_income,principal,annual_interest_rate,term_months,application_date,approval_date,disbursement_date,due_date,status,eligibility_score,purpose,total_repaid,outstanding_penalties
1,CUS-0083,Ruth Chanda,Employed,14412.0,28000.0,12.0,36,2026-01-07,2026-01-10,2026-01-13,2028-12-28,Completed,79.46,Business expansion,38080.0,0
2,CUS-0195,Mercy Mwila,Self-Employed,16645.0,29700.0,18.0,18,2024-11-16,2024-11-18,2024-11-21,2026-05-15,Overdue,85.73,Business expansion,14858.66,457.21
3,CUS-0097,Agnes Mulenga,Unemployed,3533.0,7000.0,18.0,6,2026-03-21,,,,Pending,84.15,House renovation,0,0
4,CUS-0008,Ruth Phiri,Retired,6891.0,13100.0,20.0,12,2025-10-11,,,,Pending,84.79,Equipment purchase,0,0
5,CUS-0151,Lillian Mbewe,Self-Employed,10878.0,800.0,10.0,9,2026-06-06,2026-06-12,2026-06-13,2027-03-10,Completed,99.41,Personal development,860.0,0
6,CUS-0072,James Lungu,Unemployed,4133.0,27800.0,20.0,9,2025-09-25,,,,Rejected,46.19,Equipment purchase,0,0
7,CUS-0003,Lillian Sakala,Unemployed,4765.0,28400.0,24.0,6,2026-07-22,,,,Rejected,52.32,School fees,0,0
8,CUS-0033,Agnes Musonda,Student,4069.0,11000.0,10.0,9,2026-05-01,,,,Pending,78.37,Personal development,0,0
9,CUS-0215,Chola Phiri,Student,4384.0,28400.0,10.0,24,2026-07-20,,,,Rejected,48.18,Emergency needs,0,0
10,CUS-0164,James Ngoma,Other,3509.0,13500.0,20.0,6,2025-11-02,,,,Pending,69.22,Equipment purchase,0,0
11,CUS-0088,Caroline Banda,Employed,17013.0,9100.0,10.0,6,2026-01-13,,,,Pending,95.72,School fees,0,0
12,CUS-0168,Joshua Zulu,Other,1524.0,24600.0,10.0,18,2025-10-06,,,,Pending,45.0,House renovation,0,0
13,CUS-0032,Grace Mumbula,Retired,3532.0,2300.0,18.0,24,2024-07-29,2024-07-31,2024-08-03,2026-07-24,Overdue,94.79,Business expansion,1506.27,32.43
14,CUS-0107,Peter Zulu,Retired,6997.0,22200.0,12.0,24,2024-06-26,2024-06-28,2024-07-02,2026-06-22,Overdue,74.62,Business expansion,9499.0,360.58
15,CUS-0103,Victor Zulu,Business Owner,18659.0,7500.0,10.0,3,2025-10-18,2025-10-22,2025-10-23,2026-01-21,Disbursed,96.78,Working capital,3218.3,0
16,CUS-0179,Lillian Banda,Retired,5869.0,700.0,20.0,6,2026-02-14,2026-02-18,2026-02-18,2026-08-17,Disbursed,99.05,Medical expenses,209.92,0
17,CUS-0174,Adrian Mwelwa,Unemployed,3181.0,3500.0,15.0,6,2026-01-25,2026-01-29,2026-01-30,2026-07-29,Overdue,91.2,Medical expenses,1845.72,38.34
18,CUS-0178,Eunice Musonda,Other,2670.0,16900.0,12.0,6,2025-12-26,,,,Rejected,49.36,Business expansion,0,0
19,CUS-0017,Kelvin Lungu,Student,151.0,4500.0,15.0,6,2025-09-24,,,,Rejected,45.0,Vehicle repair,0,0
20,CUS-0076,Gabriel Nyirenda,Retired,4048.0,26900.0,15.0,12,2026-05-10,,,,Rejected,46.84,School fees,0,0
21,CUS-0147,Thandiwe Tembo,Student,3450.0,5400.0,24.0,3,2026-02-17,2026-02-24,2026-02-28,2026-05-29,Overdue,87.48,Emergency needs,2457.07,0
22,CUS-0125,Adrian Mwelwa,Other,1508.0,2500.0,12.0,36,2023-08-08,2023-08-11,2023-08-14,2026-07-29,Overdue,81.74,Vehicle repair,168.55,0
23,CUS-0092,Natasha Chilufya,Self-Employed,19864.0,3800.0,24.0,18,2026-04-13,,,,Pending,98.47,Vehicle repair,0,0
